"","x"
"1","can"
"2","last"
"3","right"
"4","mothers"
"5","year"
"6","let"
"7","follow"
"8","good"
"9","happy"
"10","just"
"11","border"
"12","porcelain"
"13","first"
"14","get"
"15","looking"
"16","really"
"17","san"
"18","will"
"19","every"
"20","great"
"21","high"
"22","looks"
"23","new"
"24","next"
"25","one"
"26","read"
"27","sit"
"28","social"
"29","thank"
"30","thanks"
"31","wait"
"32","wanted"
"33","americans"
"34","couple"
"35","credit"
"36","cyclical"
"37","deaths"
"38","even"
"39","ever"
"40","everyone"
"41","feel"
"42","friday"
"43","god"
"44","going"
"45","guys"
"46","heritage"
"47","home"
"48","john"
"49","leave"
"50","make"
"51","movie"
"52","now"
"53","oh"
"54","people"
"55","please"
"56","rt"
"57","run"
"58","saul"
"59","say"
"60","schumann"
"61","see"
"62","since"
"63","spring"
"64","st"
"65","take"
"66","think"
"67","today"
"68","top"
"69","tuesday"
"70","two"
"71","united"
"72","weeks"
"73","win"
"74","wow"
"75","years"
"76","able"
"77","absolutely"
"78","account"
"79","across"
"80","acting"
"81","agree"
"82","aint"
"83","album"
"84","almost"
"85","also"
"86","american"
"87","animal"
"88","another"
"89","anybody"
"90","anyone"
"91","april"
"92","around"
"93","art"
"94","ask"
"95","aspect"
"96","aww"
"97","baby"
"98","back"
"99","beautiful"
"100","believe"
"101","best"
"102","better"
"103","big"
"104","bike"
"105","birthday"
"106","black"
"107","blog"
"108","blood"
"109","board"
"110","books"
"111","boy"
"112","boys"
"113","breast"
"114","bring"
"115","bringing"
"116","brown"
"117","bubble"
"118","bucket"
"119","built"
"120","bull"
"121","butternut"
"122","ca"
"123","came"
"124","canadian"
"125","caps"
"126","carl"
"127","cars"
"128","celine"
"129","chance"
"130","charter"
"131","check"
"132","chocolate"
"133","come"
"134","conservatives"
"135","control"
"136","cool"
"137","critical"
"138","day"
"139","days"
"140","decision"
"141","degree"
"142","different"
"143","direct"
"144","dream"
"145","due"
"146","duncan"
"147","early"
"148","eat"
"149","economy"
"150","egypt"
"151","encouraging"
"152","end"
"153","enough"
"154","estate"
"155","faithful"
"156","families"
"157","family"
"158","far"
"159","favourite"
"160","feels"
"161","food"
"162","foreign"
"163","fox"
"164","freedom"
"165","friend"
"166","front"
