"","NoLinesEachFile","cumPercent","trainPercent","NoTrainingFileLines","timeToTrain","avgTimeToPredict","sdTimeToPredict","sizeOfTrainDB","Accuracy","pairsKnown","tripsKnown","quadsKnown"
"1",100,0.5,0.6,180,13.86,NA,NA,1732776,NA,2126,2339,2245
"2",50,0.5,0.6,90,5.30000000000007,NA,NA,897960,NA,1110,1195,1152
"3",100,0.9,0.6,180,15.8299999999999,NA,NA,3284712,NA,4327,4469,4291
"4",100,0.99,0.6,180,15.78,NA,NA,3588360,NA,4730,4902,4721
"5",100,1,0.6,180,15.64,NA,NA,3572368,NA,4765,4902,4699
"6",75,1,0.6,135,11.9599999999999,NA,NA,3032880,NA,4022,4130,3973
"7",50,0.9,0.6,90,6.0200000000001,NA,NA,1666456,NA,2186,2223,2133
