"","NoLinesEachFile","cumPercent","trainPercent","NoTrainingFileLines","timeToTrain","avgTimeToPredict","sdTimeToPredict","sizeOfTrainDB","Accuracy","pairsKnown","tripsKnown","quadsKnown"
"1",100,0.5,0.6,180,15.8299999999999,0.00386554621848746,0.00726137257621768,3284712,0.0168067226890756,4327,4469,4291
"2",100,0.9,0.6,180,15.8299999999999,0.0055555555555556,0.00814146945607598,3284712,0.0256410256410256,4327,4469,4291
"3",100,0.95,0.6,180,12,0.00546218487394963,0.00870884015703557,3292592,0.0588235294117647,4358,4461,4270
"4",100,0.99,0.6,180,15.8299999999999,0.00754237288135606,0.00876438409184299,3284712,0.0254237288135593,4327,4469,4291
"5",100,1,0.6,180,15.8299999999999,0.00689655172413803,0.00999250093632847,3284712,0.0344827586206897,4327,4469,4291
"6",1000,1,0.6,1800,705.41,0.0996224832214765,0.0716351547543731,30634656,0.0587248322147651,39184,45722,44445
"7",2000,1,0.6,3600,2778.88,0.192050314465412,0.160000359115344,58918648,0.0679245283018868,73548,90278,88500
"8",4000,1,0.6,7200,13824.74,0.50275036741549,0.499447819873968,112769384,0.0768423262649591,135280,177145,176274
"9",5000,1,0.6,9000,21699.5,0.62338477021135,0.624152301534181,138121312,0.0706138879570614,163278,218639,219085
