"","count","basis","prediction","word","rowCount","freq","cumFreq"
"how+many+times",3,"how+many","times","how+many+times",1,0.00118717847249703,0.00118717847249703
"many+times+have",3,"many+times","have","many+times+have",2,0.00118717847249703,0.00237435694499406
"too+nice+to",3,"too+nice","to","too+nice+to",3,0.00118717847249703,0.0035615354174911
"the+course+and",2,"the+course","and","the+course+and",4,0.000791452314998021,0.00435298773248912
"detonated+in+a",2,"detonated+in","a","detonated+in+a",5,0.000791452314998021,0.00514444004748714
"know+that+the",2,"know+that","the","know+that+the",6,0.000791452314998021,0.00593589236248516
"was+on+the",2,"was+on","the","was+on+the",7,0.000791452314998021,0.00672734467748318
"you+can+be",2,"you+can","be","you+can+be",8,0.000791452314998021,0.0075187969924812
"on+this+one",2,"on+this","one","on+this+one",9,0.000791452314998021,0.00831024930747922
"i+was+worried",2,"i+was","worried","i+was+worried",10,0.000791452314998021,0.00910170162247725
"in+the+face",2,"in+the","face","in+the+face",11,0.000791452314998021,0.00989315393747527
"times+have+we",2,"times+have","we","times+have+we",12,0.000791452314998021,0.0106846062524733
"i+decided+to",2,"i+decided","to","i+decided+to",13,0.000791452314998021,0.0114760585674713
"but+it's+not",2,"but+it's","not","but+it's+not",14,0.000791452314998021,0.0122675108824693
"we+love+you",1,"we+love","you","we+love+you",15,0.000395726157499011,0.0126632370399683
"love+you+mr",1,"love+you","mr","love+you+mr",16,0.000395726157499011,0.0130589631974674
"you+mr+brown",1,"you+mr","brown","you+mr+brown",17,0.000395726157499011,0.0134546893549664
"chad+has+been",1,"chad+has","been","chad+has+been",18,0.000395726157499011,0.0138504155124654
"has+been+awesome",1,"has+been","awesome","has+been+awesome",19,0.000395726157499011,0.0142461416699644
"been+awesome+with",1,"been+awesome","with","been+awesome+with",20,0.000395726157499011,0.0146418678274634
"awesome+with+the",1,"awesome+with","the","awesome+with+the",21,0.000395726157499011,0.0150375939849624
"with+the+kids",1,"with+the","kids","with+the+kids",22,0.000395726157499011,0.0154333201424614
"the+kids+and",1,"the+kids","and","the+kids+and",23,0.000395726157499011,0.0158290462999604
"kids+and+holding",1,"kids+and","holding","kids+and+holding",24,0.000395726157499011,0.0162247724574594
"and+holding+down",1,"and+holding","down","and+holding+down",25,0.000395726157499011,0.0166204986149585
"holding+down+the",1,"holding+down","the","holding+down+the",26,0.000395726157499011,0.0170162247724575
"down+the+fort",1,"down+the","fort","down+the+fort",27,0.000395726157499011,0.0174119509299565
"the+fort+while",1,"the+fort","while","the+fort+while",28,0.000395726157499011,0.0178076770874555
"fort+while+i",1,"fort+while","i","fort+while+i",29,0.000395726157499011,0.0182034032449545
"while+i+work",1,"while+i","work","while+i+work",30,0.000395726157499011,0.0185991294024535
"i+work+later",1,"i+work","later","i+work+later",31,0.000395726157499011,0.0189948555599525
"work+later+than",1,"work+later","than","work+later+than",32,0.000395726157499011,0.0193905817174515
"later+than+usual",1,"later+than","usual","later+than+usual",33,0.000395726157499011,0.0197863078749505
"than+usual+the",1,"than+usual","the","than+usual+the",34,0.000395726157499011,0.0201820340324495
"usual+the+kids",1,"usual+the","kids","usual+the+kids",35,0.000395726157499011,0.0205777601899485
"the+kids+have",1,"the+kids","have","the+kids+have",36,0.000395726157499011,0.0209734863474476
"kids+have+been",1,"kids+have","been","kids+have+been",37,0.000395726157499011,0.0213692125049466
"have+been+busy",1,"have+been","busy","have+been+busy",38,0.000395726157499011,0.0217649386624456
"been+busy+together",1,"been+busy","together","been+busy+together",39,0.000395726157499011,0.0221606648199446
"busy+together+playing",1,"busy+together","playing","busy+together+playing",40,0.000395726157499011,0.0225563909774436
"together+playing+skylander",1,"together+playing","skylander","together+playing+skylander",41,0.000395726157499011,0.0229521171349426
"playing+skylander+on",1,"playing+skylander","on","playing+skylander+on",42,0.000395726157499011,0.0233478432924416
"skylander+on+the",1,"skylander+on","the","skylander+on+the",43,0.000395726157499011,0.0237435694499406
"on+the+xbox",1,"on+the","xbox","on+the+xbox",44,0.000395726157499011,0.0241392956074396
"the+xbox+together",1,"the+xbox","together","the+xbox+together",45,0.000395726157499011,0.0245350217649386
"xbox+together+after",1,"xbox+together","after","xbox+together+after",46,0.000395726157499011,0.0249307479224377
"together+after+kyan",1,"together+after","kyan","together+after+kyan",47,0.000395726157499011,0.0253264740799367
"after+kyan+cashed",1,"after+kyan","cashed","after+kyan+cashed",48,0.000395726157499011,0.0257222002374357
"kyan+cashed+in",1,"kyan+cashed","in","kyan+cashed+in",49,0.000395726157499011,0.0261179263949347
