"","count","basis","prediction","word","rowCount","freq","cumFreq"
"in+the+years+thereafter",1,"in+the+years","thereafter","in+the+years+thereafter",1,0.000757002271006813,0.000757002271006813
"the+years+thereafter+most",1,"the+years+thereafter","most","the+years+thereafter+most",2,0.000757002271006813,0.00151400454201363
"years+thereafter+most+of",1,"years+thereafter+most","of","years+thereafter+most+of",3,0.000757002271006813,0.00227100681302044
"thereafter+most+of+the",1,"thereafter+most+of","the","thereafter+most+of+the",4,0.000757002271006813,0.00302800908402725
"most+of+the+oil",1,"most+of+the","oil","most+of+the+oil",5,0.000757002271006813,0.00378501135503407
"of+the+oil+fields",1,"of+the+oil","fields","of+the+oil+fields",6,0.000757002271006813,0.00454201362604088
"the+oil+fields+and",1,"the+oil+fields","and","the+oil+fields+and",7,0.000757002271006813,0.00529901589704769
"oil+fields+and+platforms",1,"oil+fields+and","platforms","oil+fields+and+platforms",8,0.000757002271006813,0.0060560181680545
"fields+and+platforms+were",1,"fields+and+platforms","were","fields+and+platforms+were",9,0.000757002271006813,0.00681302043906132
"and+platforms+were+named",1,"and+platforms+were","named","and+platforms+were+named",10,0.000757002271006813,0.00757002271006813
"platforms+were+named+after",1,"platforms+were+named","after","platforms+were+named+after",11,0.000757002271006813,0.00832702498107494
"were+named+after+pagan",1,"were+named+after","pagan","were+named+after+pagan",12,0.000757002271006813,0.00908402725208176
"named+after+pagan+gods",1,"named+after+pagan","gods","named+after+pagan+gods",13,0.000757002271006813,0.00984102952308857
"we+love+you+mr",1,"we+love+you","mr","we+love+you+mr",14,0.000757002271006813,0.0105980317940954
"love+you+mr+brown",1,"love+you+mr","brown","love+you+mr+brown",15,0.000757002271006813,0.0113550340651022
"so+anyways+i+am",1,"so+anyways+i","am","so+anyways+i+am",16,0.000757002271006813,0.012112036336109
"anyways+i+am+going",1,"anyways+i+am","going","anyways+i+am+going",17,0.000757002271006813,0.0128690386071158
"i+am+going+to",1,"i+am+going","to","i+am+going+to",18,0.000757002271006813,0.0136260408781226
"am+going+to+share",1,"am+going+to","share","am+going+to+share",19,0.000757002271006813,0.0143830431491295
"going+to+share+some",1,"going+to+share","some","going+to+share+some",20,0.000757002271006813,0.0151400454201363
"to+share+some+home",1,"to+share+some","home","to+share+some+home",21,0.000757002271006813,0.0158970476911431
"share+some+home+decor",1,"share+some+home","decor","share+some+home+decor",22,0.000757002271006813,0.0166540499621499
"some+home+decor+inspiration",1,"some+home+decor","inspiration","some+home+decor+inspiration",23,0.000757002271006813,0.0174110522331567
"home+decor+inspiration+that",1,"home+decor+inspiration","that","home+decor+inspiration+that",24,0.000757002271006813,0.0181680545041635
"decor+inspiration+that+i",1,"decor+inspiration+that","i","decor+inspiration+that+i",25,0.000757002271006813,0.0189250567751703
"inspiration+that+i+have",1,"inspiration+that+i","have","inspiration+that+i+have",26,0.000757002271006813,0.0196820590461772
"that+i+have+been",1,"that+i+have","been","that+i+have+been",27,0.000757002271006813,0.020439061317184
"i+have+been+storing",1,"i+have+been","storing","i+have+been+storing",28,0.000757002271006813,0.0211960635881908
"have+been+storing+in",1,"have+been+storing","in","have+been+storing+in",29,0.000757002271006813,0.0219530658591976
"been+storing+in+my",1,"been+storing+in","my","been+storing+in+my",30,0.000757002271006813,0.0227100681302044
"storing+in+my+folder",1,"storing+in+my","folder","storing+in+my+folder",31,0.000757002271006813,0.0234670704012112
"in+my+folder+on",1,"in+my+folder","on","in+my+folder+on",32,0.000757002271006813,0.024224072672218
"my+folder+on+the",1,"my+folder+on","the","my+folder+on+the",33,0.000757002271006813,0.0249810749432248
"folder+on+the+puter",1,"folder+on+the","puter","folder+on+the+puter",34,0.000757002271006813,0.0257380772142317
"on+the+puter+i",1,"on+the+puter","i","on+the+puter+i",35,0.000757002271006813,0.0264950794852385
"the+puter+i+have",1,"the+puter+i","have","the+puter+i+have",36,0.000757002271006813,0.0272520817562453
