"","count","basis","prediction","word","rowCount","freq","cumFreq"
"whipped+up+a+fun",1,"whipped+up+a","fun","whipped+up+a+fun",60,0.000945179584120983,0.056710775047259
"up+a+fun+set",1,"up+a+fun","set","up+a+fun+set",61,0.000945179584120983,0.05765595463138
"a+fun+set+to",1,"a+fun+set","to","a+fun+set+to",62,0.000945179584120983,0.058601134215501
"fun+set+to+help",1,"fun+set+to","help","fun+set+to+help",63,0.000945179584120983,0.059546313799622
"set+to+help+you",1,"set+to+help","you","set+to+help+you",64,0.000945179584120983,0.060491493383743
"to+help+you+out",1,"to+help+you","out","to+help+you+out",65,0.000945179584120983,0.0614366729678639
"help+you+out+with",1,"help+you+out","with","help+you+out+with",66,0.000945179584120983,0.0623818525519849
"you+out+with+not",1,"you+out+with","not","you+out+with+not",67,0.000945179584120983,0.0633270321361059
"out+with+not+only",1,"out+with+not","only","out+with+not+only",68,0.000945179584120983,0.0642722117202269
"with+not+only+your",1,"with+not+only","your","with+not+only+your",69,0.000945179584120983,0.0652173913043479
"not+only+your+graduation",1,"not+only+your","graduation","not+only+your+graduation",70,0.000945179584120983,0.0661625708884688
"only+your+graduation+cards",1,"only+your+graduation","cards","only+your+graduation+cards",71,0.000945179584120983,0.0671077504725898
"your+graduation+cards+and",1,"your+graduation+cards","and","your+graduation+cards+and",72,0.000945179584120983,0.0680529300567108
"graduation+cards+and+gifts",1,"graduation+cards+and","gifts","graduation+cards+and+gifts",73,0.000945179584120983,0.0689981096408318
"cards+and+gifts+but",1,"cards+and+gifts","but","cards+and+gifts+but",74,0.000945179584120983,0.0699432892249528
"and+gifts+but+any",1,"and+gifts+but","any","and+gifts+but+any",75,0.000945179584120983,0.0708884688090737
"gifts+but+any+occasion",1,"gifts+but+any","occasion","gifts+but+any+occasion",76,0.000945179584120983,0.0718336483931947
"but+any+occasion+that",1,"but+any+occasion","that","but+any+occasion+that",77,0.000945179584120983,0.0727788279773157
"any+occasion+that+brings",1,"any+occasion+that","brings","any+occasion+that+brings",78,0.000945179584120983,0.0737240075614367
"occasion+that+brings+on",1,"occasion+that+brings","on","occasion+that+brings+on",79,0.000945179584120983,0.0746691871455576
"that+brings+on+a",1,"that+brings+on","a","that+brings+on+a",80,0.000945179584120983,0.0756143667296786
"brings+on+a+change",1,"brings+on+a","change","brings+on+a+change",81,0.000945179584120983,0.0765595463137996
"on+a+change+in",1,"on+a+change","in","on+a+change+in",82,0.000945179584120983,0.0775047258979206
"a+change+in+one's",1,"a+change+in","one's","a+change+in+one's",83,0.000945179584120983,0.0784499054820416
"change+in+one's+life",1,"change+in+one's","life","change+in+one's+life",84,0.000945179584120983,0.0793950850661625
"in+one's+life+i",1,"in+one's+life","i","in+one's+life+i",85,0.000945179584120983,0.0803402646502835
"one's+life+i+stamped",1,"one's+life+i","stamped","one's+life+i+stamped",86,0.000945179584120983,0.0812854442344045
"life+i+stamped+the",1,"life+i+stamped","the","life+i+stamped+the",87,0.000945179584120983,0.0822306238185255
"i+stamped+the+images",1,"i+stamped+the","images","i+stamped+the+images",88,0.000945179584120983,0.0831758034026465
"stamped+the+images+in",1,"stamped+the+images","in","stamped+the+images+in",89,0.000945179584120983,0.0841209829867674
"the+images+in+memento",1,"the+images+in","memento","the+images+in+memento",90,0.000945179584120983,0.0850661625708884
"images+in+memento+tuxedo",1,"images+in+memento","tuxedo","images+in+memento+tuxedo",91,0.000945179584120983,0.0860113421550094
"in+memento+tuxedo+black",1,"in+memento+tuxedo","black","in+memento+tuxedo+black",92,0.000945179584120983,0.0869565217391304
"memento+tuxedo+black+and",1,"memento+tuxedo+black","and","memento+tuxedo+black+and",93,0.000945179584120983,0.0879017013232513
"tuxedo+black+and+cut",1,"tuxedo+black+and","cut","tuxedo+black+and+cut",94,0.000945179584120983,0.0888468809073723
"black+and+cut+them",1,"black+and+cut","them","black+and+cut+them",95,0.000945179584120983,0.0897920604914933
"and+cut+them+out",1,"and+cut+them","out","and+cut+them+out",96,0.000945179584120983,0.0907372400756143
"cut+them+out+with",1,"cut+them+out","with","cut+them+out+with",97,0.000945179584120983,0.0916824196597353
"them+out+with+circle",1,"them+out+with","circle","them+out+with+circle",98,0.000945179584120983,0.0926275992438562
"out+with+circle+nestabilities",1,"out+with+circle","nestabilities","out+with+circle+nestabilities",99,0.000945179584120983,0.0935727788279772
"with+circle+nestabilities+i",1,"with+circle+nestabilities","i","with+circle+nestabilities+i",100,0.000945179584120983,0.0945179584120982
"circle+nestabilities+i+embossed",1,"circle+nestabilities+i","embossed","circle+nestabilities+i+embossed",101,0.000945179584120983,0.0954631379962192
"nestabilities+i+embossed+the",1,"nestabilities+i+embossed","the","nestabilities+i+embossed+the",102,0.000945179584120983,0.0964083175803401
"i+embossed+the+kraft",1,"i+embossed+the","kraft","i+embossed+the+kraft",103,0.000945179584120983,0.0973534971644611
"embossed+the+kraft+and",1,"embossed+the+kraft","and","embossed+the+kraft+and",104,0.000945179584120983,0.0982986767485821
"the+kraft+and+red",1,"the+kraft+and","red","the+kraft+and+red",105,0.000945179584120983,0.0992438563327031
"kraft+and+red+cardstock",1,"kraft+and+red","cardstock","kraft+and+red+cardstock",106,0.000945179584120983,0.100189035916824
"and+red+cardstock+with",1,"and+red+cardstock","with","and+red+cardstock+with",107,0.000945179584120983,0.101134215500945
"red+cardstock+with+te's",1,"red+cardstock+with","te's","red+cardstock+with+te's",108,0.000945179584120983,0.102079395085066
"cardstock+with+te's+new",1,"cardstock+with+te's","new","cardstock+with+te's+new",109,0.000945179584120983,0.103024574669187
"with+te's+new+stars",1,"with+te's+new","stars","with+te's+new+stars",110,0.000945179584120983,0.103969754253308
"te's+new+stars+impressions",1,"te's+new+stars","impressions","te's+new+stars+impressions",111,0.000945179584120983,0.104914933837429
"new+stars+impressions+plate",1,"new+stars+impressions","plate","new+stars+impressions+plate",112,0.000945179584120983,0.10586011342155
"stars+impressions+plate+which",1,"stars+impressions+plate","which","stars+impressions+plate+which",113,0.000945179584120983,0.106805293005671
"impressions+plate+which+is",1,"impressions+plate+which","is","impressions+plate+which+is",114,0.000945179584120983,0.107750472589792
"plate+which+is+double",1,"plate+which+is","double","plate+which+is+double",115,0.000945179584120983,0.108695652173913
"which+is+double+sided",1,"which+is+double","sided","which+is+double+sided",116,0.000945179584120983,0.109640831758034
"is+double+sided+and",1,"is+double+sided","and","is+double+sided+and",117,0.000945179584120983,0.110586011342155
"double+sided+and+gives",1,"double+sided+and","gives","double+sided+and+gives",118,0.000945179584120983,0.111531190926276
"sided+and+gives+you",1,"sided+and+gives","you","sided+and+gives+you",119,0.000945179584120983,0.112476370510397
"fantastic+patterns+you+can",1,"fantastic+patterns+you","can","fantastic+patterns+you+can",120,0.000945179584120983,0.113421550094518
"patterns+you+can+see",1,"patterns+you+can","see","patterns+you+can+see",121,0.000945179584120983,0.114366729678639
"you+can+see+how",1,"you+can+see","how","you+can+see+how",122,0.000945179584120983,0.11531190926276
"can+see+how+to",1,"can+see+how","to","can+see+how+to",123,0.000945179584120983,0.116257088846881
"see+how+to+use",1,"see+how+to","use","see+how+to+use",124,0.000945179584120983,0.117202268431002
"how+to+use+the",1,"how+to+use","the","how+to+use+the",125,0.000945179584120983,0.118147448015123
"to+use+the+impressions",1,"to+use+the","impressions","to+use+the+impressions",126,0.000945179584120983,0.119092627599244
"use+the+impressions+plates",1,"use+the+impressions","plates","use+the+impressions+plates",127,0.000945179584120983,0.120037807183365
"the+impressions+plates+in",1,"the+impressions+plates","in","the+impressions+plates+in",128,0.000945179584120983,0.120982986767486
"impressions+plates+in+this",1,"impressions+plates+in","this","impressions+plates+in+this",129,0.000945179584120983,0.121928166351607
"plates+in+this+tutorial",1,"plates+in+this","tutorial","plates+in+this+tutorial",130,0.000945179584120983,0.122873345935728
"in+this+tutorial+taylor",1,"in+this+tutorial","taylor","in+this+tutorial+taylor",131,0.000945179584120983,0.123818525519849
"this+tutorial+taylor+created",1,"this+tutorial+taylor","created","this+tutorial+taylor+created",132,0.000945179584120983,0.124763705103969
"tutorial+taylor+created+just",1,"tutorial+taylor+created","just","tutorial+taylor+created+just",133,0.000945179584120983,0.12570888468809
"taylor+created+just+one",1,"taylor+created+just","one","taylor+created+just+one",134,0.000945179584120983,0.126654064272211
"created+just+one+pass",1,"created+just+one","pass","created+just+one+pass",135,0.000945179584120983,0.127599243856332
"just+one+pass+through",1,"just+one+pass","through","just+one+pass+through",136,0.000945179584120983,0.128544423440453
"one+pass+through+your",1,"one+pass+through","your","one+pass+through+your",137,0.000945179584120983,0.129489603024574
"pass+through+your+die",1,"pass+through+your","die","pass+through+your+die",138,0.000945179584120983,0.130434782608695
"through+your+die+cut",1,"through+your+die","cut","through+your+die+cut",139,0.000945179584120983,0.131379962192816
"your+die+cut+machine",1,"your+die+cut","machine","your+die+cut+machine",140,0.000945179584120983,0.132325141776937
"die+cut+machine+using",1,"die+cut+machine","using","die+cut+machine+using",141,0.000945179584120983,0.133270321361058
"cut+machine+using+the",1,"cut+machine+using","the","cut+machine+using+the",142,0.000945179584120983,0.134215500945179
"machine+using+the+embossing",1,"machine+using+the","embossing","machine+using+the+embossing",143,0.000945179584120983,0.1351606805293
"using+the+embossing+pad",1,"using+the+embossing","pad","using+the+embossing+pad",144,0.000945179584120983,0.136105860113421
"the+embossing+pad+kit",1,"the+embossing+pad","kit","the+embossing+pad+kit",145,0.000945179584120983,0.137051039697542
"embossing+pad+kit+is",1,"embossing+pad+kit","is","embossing+pad+kit+is",146,0.000945179584120983,0.137996219281663
"pad+kit+is+all",1,"pad+kit+is","all","pad+kit+is+all",147,0.000945179584120983,0.138941398865784
"kit+is+all+you",1,"kit+is+all","you","kit+is+all+you",148,0.000945179584120983,0.139886578449905
"is+all+you+need",1,"is+all+you","need","is+all+you+need",149,0.000945179584120983,0.140831758034026
"all+you+need+to",1,"all+you+need","to","all+you+need+to",150,0.000945179584120983,0.141776937618147
"you+need+to+do",1,"you+need+to","do","you+need+to+do",151,0.000945179584120983,0.142722117202268
"if+you+have+an",1,"if+you+have","an","if+you+have+an",152,0.000945179584120983,0.143667296786389
"you+have+an+alternative",1,"you+have+an","alternative","you+have+an+alternative",153,0.000945179584120983,0.14461247637051
"have+an+alternative+argument",1,"have+an+alternative","argument","have+an+alternative+argument",154,0.000945179584120983,0.145557655954631
"an+alternative+argument+let's",1,"an+alternative+argument","let's","an+alternative+argument+let's",155,0.000945179584120983,0.146502835538752
"alternative+argument+let's+hear",1,"alternative+argument+let's","hear","alternative+argument+let's+hear",156,0.000945179584120983,0.147448015122873
"argument+let's+hear+it",1,"argument+let's+hear","it","argument+let's+hear+it",157,0.000945179584120983,0.148393194706994
"if+i+were+a",1,"if+i+were","a","if+i+were+a",158,0.000945179584120983,0.149338374291115
"i+were+a+bear",1,"i+were+a","bear","i+were+a+bear",159,0.000945179584120983,0.150283553875236
"other+friends+have+similar",1,"other+friends+have","similar","other+friends+have+similar",160,0.000945179584120983,0.151228733459357
"friends+have+similar+stories",1,"friends+have+similar","stories","friends+have+similar+stories",161,0.000945179584120983,0.152173913043478
"have+similar+stories+of",1,"have+similar+stories","of","have+similar+stories+of",162,0.000945179584120983,0.153119092627599
"similar+stories+of+how",1,"similar+stories+of","how","similar+stories+of+how",163,0.000945179584120983,0.15406427221172
"stories+of+how+they",1,"stories+of+how","they","stories+of+how+they",164,0.000945179584120983,0.155009451795841
"of+how+they+were",1,"of+how+they","were","of+how+they+were",165,0.000945179584120983,0.155954631379962
"how+they+were+treated",1,"how+they+were","treated","how+they+were+treated",166,0.000945179584120983,0.156899810964083
"they+were+treated+brusquely",1,"they+were+treated","brusquely","they+were+treated+brusquely",167,0.000945179584120983,0.157844990548204
"were+treated+brusquely+by",1,"were+treated+brusquely","by","were+treated+brusquely+by",168,0.000945179584120983,0.158790170132325
"treated+brusquely+by+laurelwood",1,"treated+brusquely+by","laurelwood","treated+brusquely+by+laurelwood",169,0.000945179584120983,0.159735349716446
"brusquely+by+laurelwood+staff",1,"brusquely+by+laurelwood","staff","brusquely+by+laurelwood+staff",170,0.000945179584120983,0.160680529300567
"by+laurelwood+staff+and",1,"by+laurelwood+staff","and","by+laurelwood+staff+and",171,0.000945179584120983,0.161625708884688
