"","count"
"i",7170
"know",753
"right",447
"you",5446
"too",562
"lol",675
"have",1674
"to",7764
"admit",15
"rick",14
"ross's",2
"new",697
"mixtape",12
"goes",72
"pretty",165
"hard",159
"mother's",25
"day",941
"brunch",14
"row",18
"ampm",6
"make",477
"your",1770
"reservations",4
"today",721
"question",52
"is",3653
"it",2870
"possible",35
"that",2335
"an",637
"underwater",2
"volcano",1
"in",3789
"the",9457
"north",29
"atlantic",3
"and",4386
"oil",12
"rig",1
"hibernia",1
"can",907
"cause",71
"a",6052
"prob",11
"keep",212
"thinking",86
"will",918
"change",118
"my",2907
"cover",38
"photo",24
"of",3684
"cat",33
"snow",23
"but",1233
"then",329
"am",481
"northern",3
"mexico",7
"does",191
"may",181
"might",133
"not",1251
"mba",5
"business",97
"master's",2
"knowing",26
"how",796
"treat",25
"people",523
"welcome",148
"college",51
"life",335
"tonight",419
"im",324
"cookin",1
"lemon",7
"pepper",8
"chicken",35
"mash",5
"potatoesgravy",1
"corn",11
"rolls",5
"get",1067
"plate",11
"be",1849
"trusted",2
"greater",9
"compliment",5
"than",277
"loved",89
"what",1066
"part",97
"cali",5
"brazil",5
"ambayy",1
"i'm",1188
"goin'",2
"back",575
"brooklyn",4
"where",242
"was",1116
"livin",5
"wut",1
"boutchu",1
"honey",14
"from",845
"ah",65
"ik",4
"it's",814
"really",464
"bad",204
"pbr",7
"house",145
"blues",11
"on",2799
"sunset",10
"blvd",1
"pm",183
"no",823
"if",1070
"mention",55
"geniuspills",1
"rt",840
"josephdepalma",1
"happy",470
"either",64
"clear",17
"has",412
"problems",25
"they're",62
"adressing",1
"nor",13
"helping",19
"customers",14
"great",743
"gift",31
"idea",74
"just",1508
"saved",8
"at",1874
"disney",14
"familyfun",1
"through",125
"livingsocial",1
"so",1666
"empty",16
"ridiculous",16
"sometimes",75
"wish",182
"could",268
"one",817
"those",194
"who",525
"don't",755
"give",157
"shit",168
"about",886
"their",273
"jobs",32
"after",262
"work",404
"morning",267
"enjoy",105
"week",268
"as",708
"well",420
"been",436
"mia",6
"for",3819
"min",33
"had",422
"sme",1
"handle",22
"bbaaacccckkkk",1
"are",1602
"voting",10
"mitt",8
"romney",20
"snowatl",1
"dogs",16
"refuse",7
"go",691
"outthey",1
"did",388
"biz",13
"edge",11
"sidewalk",2
"by",586
"door",33
"ran",17
"n",113
"toute",1
"suite",8
"this",1652
"radio",44
"magic",28
"these",160
"tropicana",1
"trains",1
"el",14
"me",2034
"feel",245
"like",1304
"boyfriend",29
"playing",101
"z",5
"abaxis",1
"report",28
"fourth",6
"quarter",8
"fiscal",1
"year",278
"financial",9
"results",18
"marketwatch",1
"press",21
"release",27
"prefer",13
"term",13
"committed",8
"unmaried",1
"says",86
"all",1177
"yes",299
"hetrosexual",1
"nice",223
"way",376
"bestfriend",11
"cute",61
"thanks",873
"support",109
"babycakes",1
"yeah",228
"bro",80
"nasty",11
"they",665
"come",405
"prayers",15
"good",1012
"warm",34
"thoughts",57
"himxo",1
"hope",349
"recognize",9
"games",81
"problem",65
"thank",394
"follow",460
"didn't",171
"even",243
"smoke",16
"need",537
"say",301
"thrilled",9
"melissa",1
"harris",5
"perry's",2
"show",331
"msnbc",3
"love",1024
"progress",21
"want",485
"everyone",263
"doing",229
"time",732
"backinelementary",1
"there",600
"spongebob",2
"dora",1
"diego",26
"gopowerpuffs",1
"girls",96
"pussy",10
"check",176
"list",50
"tight",13
"wet",18
"odor",2
"shaved",2
"disease",5
"free",201
"retweet",42
"only",419
"following",133
"boxes",5
"checked",18
"eat",74
"chinese",7
"food",112
"again",209
"fuck",120
"cellar",2
"undertaker",2
"now",817
"mania",1
"count",39
