"","count"
"ha",93
"guess",98
"so",1702
"or",696
"lameobizbrag",1
"see",685
"our",622
"event",80
"pictures",34
"and",4272
"press",23
"page",56
"wwwbuffettesshoeshinecom",1
"seriously",67
"its",385
"been",420
"forever",45
"really",484
"likes",25
"qos",1
"thanks",847
"for",3756
"the",9406
"shout",45
"out",1073
"happy",509
"friday",158
"yea",57
"i",7220
"got",612
"you",5424
"i'm",1258
"usually",26
"partying",4
"down",283
"there",559
"every",179
"other",182
"weekend",200
"if",1043
"hopefully",43
"when",863
"win",147
"tonight",433
"game",279
"one",782
"of",3604
"series",35
"vs",50
"starts",43
"sunday",97
"at",1715
"pm",175
"can't",457
"wait",252
"to",7929
"telling",27
"sub",7
"was",1130
"in",3883
"class",117
"saved",11
"me",2003
"a",6042
"jug",1
"awesome",200
"slate",1
"games",78
"why",401
"all",1214
"national",38
"teams",23
"want",460
"stay",141
"away",144
"from",844
"htown",4
"did",394
"just",1479
"that's",376
"what",1095
"she",300
"said",184
"hehehe",2
"sometime",27
"over",304
"summer",106
"be",1798
"patient",8
"we",1324
"are",1570
"working",154
"as",719
"fast",51
"can",930
"get",1129
"it",2957
"released",8
"who",595
"do",1064
"u",692
"consider",10
"most",186
"dominate",4
"player",31
"ever",272
"rt",871
"looking",247
"your",1794
"friend",140
"saying",71
"i'll",288
"having",151
"book",111
"turned",25
"into",203
"movie",127
"is",3614
"like",1211
"seeing",75
"oxen",1
"bouillon",1
"cubes",1
"john",55
"he",539
"carri",1
"glad",128
"episodes",10
"returning",5
"good",1011
"show",317
"two",176
"years",138
"because",230
"know",761
"how",725
"keep",234
"my",2945
"promises",6
"discovered",10
"have",1736
"bashful",2
"liverhe",1
"needs",99
"couple",59
"drinks",24
"loosen",1
"upso",1
"will",947
"gov",9
"cover",45
"that",2353
"lol",639
"them",404
"gonna",213
"make",527
"on",2780
"sign",50
"saturday",70
"great",739
"pickup",5
"another",180
"qb",10
"field",32
"this",1549
"could",281
"deadly",3
"go",744
"pack",25
"happybirthdaymadison",1
"love",1034
"hope",323
"day",871
"amazing",225
"ar",1
"few",132
"yrs",19
"ago",53
"looked",20
"lik",5
"someone",232
"cut",38
"side",59
"face",89
"deep",25
"didbt",1
"outside",63
"take",269
"school",211
"nothing",115
"oh",304
"sumit",1
"chicago",73
"ya'll",5
"ignorant",13
"mfs",4
