"","count"
"born",28
"in",6732
"los",55
"angeles",50
"on",2751
"feb",21
"price",55
"took",163
"informal",2
"trumpet",3
"lessons",7
"from",1491
"jazz",16
"musician",3
"chet",1
"baker",11
"and",8778
"drawing",9
"classes",24
"at",2156
"chouinard",1
"art",60
"institute",28
"while",294
"still",265
"a",8595
"student",58
"university",155
"high",236
"school",326
"his",1545
"first",541
"ceramics",2
"class",61
"came",127
"after",647
"graduation",9
"santa",24
"monica",3
"college",105
"he",2235
"transferred",8
"to",8979
"usc",8
"where",308
"later",140
"taught",16
"enrolled",8
"the",19762
"county",296
"now",370
"otis",3
"of",7747
"design",44
"there",558
"artist",26
"peter",21
"voulkos",1
"had",833
"shaken",5
"up",712
"establishment",3
"with",2466
"muscular",1
"monumental",1
"slabs",1
"roughly",15
"worked",86
"clay",7
"that",3475
"infuse",1
"asian",10
"traditions",8
"abstract",3
"expressionist",1
"bravura",1
"voulkos'",1
"slashed",4
"gouged",1
"platters",1
"brawny",1
"sculptures",2
"bucked",1
"prevailing",4
"ceramic",4
"taste",25
"for",3504
"refined",2
"harmonies",5
"between",165
"elegant",6
"form",26
"punctilious",1
"surface",6
"are",1365
"lots",28
"songs",16
"about",872
"summer",104
"not",1075
"so",556
"many",326
"winter",42
"one",815
"great",145
"ones",28
"though",106
"is",2919
"joni",1
"mitchell's",2
"urge",3
"going",305
"campaign",79
"called",140
"bayonne",2
"kids",82
"count",33
"too",176
"students",143
"writing",34
"letters",14
"state",483
"officials",174
"asking",35
"funding",31
"items",29
"ranging",8
"improved",19
"technology",38
"air",65
"conditioning",5
"boe",2
"superintendent",20
"schools",98
"patricia",8
"l",14
"mcgeehan",1
"said",2535
"district",141
"has",1195
"already",120
"sent",49
"government",137
"including",210
"governor",31
"chris",37
"christie",37
"various",21
"senators",8
"commissioner",25
"education",83
"questionable",5
"calls",56
"every",185
"player",84
"seahawks",2
"chose",21
"can",565
"be",1568
"categorized",1
"as",1855
"major",91
"roll",23
"dice",6
"irvin",2
"undersized",2
"carries",15
"character",21
"red",77
"flags",4
"wagner",2
"more",850
"potential",39
"than",580
"production",36
"wilson",26
"may",291
"big",187
"enough",144
"succeed",7
"nfl",46
"level",88
"turbin",1
"medical",80
"risk",47
"issue",91
"electronic",15
"devices",20
"planes",5
"received",74
"national",173
"publicity",6
"december",35
"when",777
"alec",3
"baldwin",7
"was",2192
"kicked",3
"off",273
"new",698
"yorkbound",1
"flight",22
"refusing",5
"turn",59
"cellphone",8
"who",1107
"stars",29
"nbc's",2
"rock",53
"issued",35
"an",1182
"apology",6
"fellow",26
"american",145
"airlines",15
"passengers",20
"were",838
"delayed",8
"but",1464
"mocked",1
"attendant",1
"twitter",25
"once",102
"i",1605
"heard",49
"john",139
"harbaugh",6
"used",147
"words",34
"asterisk",2
"stained",2
"england",11
"same",179
"sentence",18
"during",245
"radio",36
"interview",45
